Frame_Pair,MSE,Inverse SSIM,LPIPS
1_vs_2,139.490078,0.073512,0.037821
2_vs_3,113.887118,0.068894,0.034185
3_vs_4,99.463090,0.054774,0.029487
4_vs_5,127.643255,0.074424,0.039336
5_vs_6,110.359323,0.068102,0.037187
6_vs_7,99.780256,0.057756,0.034619
7_vs_8,103.916892,0.060714,0.036149
8_vs_9,109.555022,0.066660,0.036281
9_vs_10,82.495356,0.048231,0.029733
10_vs_11,89.966667,0.053884,0.035072
11_vs_12,110.450942,0.065079,0.034031
12_vs_13,66.583624,0.040318,0.025844
13_vs_14,92.289510,0.052570,0.033599
14_vs_15,78.339514,0.047763,0.026809
15_vs_16,68.743077,0.040309,0.025936
16_vs_17,78.089714,0.048816,0.032472
17_vs_18,94.918997,0.058759,0.032560
18_vs_19,63.600343,0.034790,0.022505
19_vs_20,74.151632,0.043284,0.031259
20_vs_21,93.876124,0.055596,0.033856
21_vs_22,62.675842,0.038804,0.022977
22_vs_23,67.117248,0.038883,0.027850
23_vs_24,83.137556,0.050607,0.029258
24_vs_25,62.362912,0.036853,0.026238
25_vs_26,57.020339,0.033251,0.025112
26_vs_27,91.603507,0.056619,0.032674
27_vs_28,69.966363,0.040239,0.024984
28_vs_29,53.692066,0.029980,0.022832
29_vs_30,59.429045,0.037545,0.023212
30_vs_31,59.693824,0.037743,0.022749
31_vs_32,61.805299,0.037948,0.026346
32_vs_33,64.310812,0.038556,0.025666
33_vs_34,53.612934,0.032407,0.021129
34_vs_35,45.967574,0.027174,0.019302
35_vs_36,45.922266,0.027201,0.018635
36_vs_37,49.606957,0.029180,0.020435
37_vs_38,46.287565,0.027014,0.018833
38_vs_39,43.581697,0.025288,0.018576
39_vs_40,51.282357,0.032586,0.019586
40_vs_41,45.073928,0.025932,0.019568
41_vs_42,38.974614,0.022448,0.017011
42_vs_43,37.547852,0.022926,0.015575
43_vs_44,37.468628,0.020949,0.017526
44_vs_45,35.379744,0.019298,0.015524
45_vs_46,42.203780,0.025932,0.016790
46_vs_47,33.957574,0.018626,0.015544
47_vs_48,26.921706,0.015769,0.012828
48_vs_49,33.710425,0.020146,0.013259
49_vs_50,27.416076,0.014861,0.014138
50_vs_51,31.256228,0.017905,0.015058
51_vs_52,30.367630,0.016739,0.011753
52_vs_53,25.311649,0.013661,0.011473
53_vs_54,28.185942,0.014408,0.010714
54_vs_55,26.653659,0.014928,0.009461
55_vs_56,25.425729,0.013317,0.011278
56_vs_57,22.052244,0.012170,0.009981
57_vs_58,26.600126,0.014535,0.010035
58_vs_59,19.315347,0.010505,0.009026
59_vs_60,17.213355,0.009061,0.008246
60_vs_61,21.109023,0.012737,0.009002
61_vs_62,18.077361,0.009240,0.007647
62_vs_63,21.102062,0.011621,0.008264
63_vs_64,21.612062,0.012697,0.009461
64_vs_65,24.684371,0.014883,0.009924
65_vs_66,15.419253,0.008388,0.005803
66_vs_67,17.824657,0.009040,0.006192
67_vs_68,16.409102,0.008123,0.005443
68_vs_69,24.522713,0.012064,0.008164
69_vs_70,16.953351,0.008172,0.005631
70_vs_71,21.071037,0.009482,0.006985
71_vs_72,20.896944,0.009521,0.006041
72_vs_73,19.057092,0.008132,0.005528
73_vs_74,21.418698,0.009361,0.006195
74_vs_75,21.233355,0.009490,0.004954
75_vs_76,21.354227,0.008879,0.006303
76_vs_77,28.572721,0.013500,0.009476
77_vs_78,29.586359,0.014932,0.007497
78_vs_79,25.422626,0.012323,0.008319
79_vs_80,39.694262,0.019507,0.012474
80_vs_81,49.614054,0.026199,0.016018
81_vs_82,40.121801,0.019677,0.013465
82_vs_83,52.611076,0.026489,0.017769
83_vs_84,65.345204,0.034813,0.024351
84_vs_85,64.823533,0.032481,0.021373
85_vs_86,71.555317,0.036166,0.022991
86_vs_87,75.974939,0.039044,0.022480
87_vs_88,97.058095,0.052375,0.027436
88_vs_89,98.047938,0.051453,0.026497
89_vs_90,100.778368,0.053956,0.027220
90_vs_91,211.742930,0.140438,0.135867
91_vs_92,119.634857,0.060076,0.031055
92_vs_93,159.907283,0.086205,0.034080
93_vs_94,137.713034,0.068676,0.029761
94_vs_95,180.375304,0.093011,0.040667
95_vs_96,166.631806,0.085498,0.036772
96_vs_97,149.759462,0.075754,0.040495
97_vs_98,161.414388,0.080753,0.039113
98_vs_99,166.083516,0.085027,0.037905
99_vs_100,166.549601,0.083505,0.036342
100_vs_101,179.438398,0.090478,0.038482
101_vs_102,187.427066,0.092612,0.037204
102_vs_103,173.835247,0.087534,0.038479
103_vs_104,179.845490,0.088094,0.039223
104_vs_105,191.077201,0.093413,0.040526
105_vs_106,186.849071,0.091060,0.042050
106_vs_107,189.083689,0.092055,0.042155
107_vs_108,194.651836,0.094631,0.041807
108_vs_109,197.466254,0.097022,0.045012
109_vs_110,183.434527,0.089328,0.037388
110_vs_111,194.838798,0.097231,0.044002
111_vs_112,177.112669,0.087219,0.037094
112_vs_113,174.097335,0.086353,0.038130
113_vs_114,169.772153,0.083361,0.038008
114_vs_115,171.233772,0.082944,0.036099
115_vs_116,168.743181,0.080631,0.034262
116_vs_117,165.581775,0.078568,0.037710
117_vs_118,160.092478,0.077438,0.033741
118_vs_119,145.908056,0.068291,0.032556
119_vs_120,140.619544,0.072759,0.033727
120_vs_121,128.580998,0.062564,0.030382
121_vs_122,118.277617,0.060628,0.030208
122_vs_123,139.829201,0.069706,0.034222
123_vs_124,106.433824,0.051171,0.027741
124_vs_125,124.094362,0.061865,0.034361
125_vs_126,121.447878,0.063610,0.033161
126_vs_127,100.712344,0.049164,0.030950
127_vs_128,104.749965,0.055049,0.038254
128_vs_129,112.193880,0.057288,0.030536
129_vs_130,92.862595,0.044850,0.026042
130_vs_131,102.823316,0.052732,0.033835
131_vs_132,93.494753,0.048518,0.029410
132_vs_133,95.630629,0.049164,0.030751
133_vs_134,90.838147,0.046344,0.027913
134_vs_135,100.375560,0.048314,0.028947
135_vs_136,90.611250,0.045563,0.030552
136_vs_137,87.895608,0.043733,0.031418
137_vs_138,80.855365,0.040411,0.031033
138_vs_139,87.827096,0.047187,0.034492
139_vs_140,86.865295,0.044594,0.026960
140_vs_141,84.227365,0.043700,0.030120
141_vs_142,70.930317,0.038765,0.024166
142_vs_143,89.181011,0.045392,0.028543
143_vs_144,85.317500,0.045120,0.028434
144_vs_145,80.236302,0.042351,0.027625
145_vs_146,84.975499,0.044608,0.024755
146_vs_147,72.022908,0.037912,0.024485
147_vs_148,86.757969,0.045389,0.027620
148_vs_149,64.424800,0.035453,0.027131
149_vs_150,67.639800,0.034011,0.023476
150_vs_151,81.291246,0.042579,0.025865
151_vs_152,54.712140,0.029395,0.019098
152_vs_153,66.538355,0.033122,0.022809
153_vs_154,70.222053,0.039237,0.024332
154_vs_155,60.957300,0.029934,0.017346
155_vs_156,61.045790,0.031472,0.020918
156_vs_157,56.725803,0.030532,0.018634
157_vs_158,55.159232,0.029009,0.019525
158_vs_159,51.363485,0.026871,0.017838
159_vs_160,49.303698,0.026095,0.020609
160_vs_161,65.752179,0.037716,0.022872
161_vs_162,48.799913,0.025438,0.019037
162_vs_163,55.142604,0.028358,0.019872
163_vs_164,53.294913,0.026810,0.018161
164_vs_165,50.102470,0.026332,0.017320
165_vs_166,46.540720,0.024347,0.017114
166_vs_167,51.824288,0.028199,0.018116
167_vs_168,61.600043,0.033334,0.021043
168_vs_169,44.901827,0.023850,0.018333
169_vs_170,52.415530,0.026642,0.021111
170_vs_171,48.549657,0.026388,0.017051
171_vs_172,45.710499,0.023525,0.018453
172_vs_173,46.757956,0.023080,0.017684
173_vs_174,46.980851,0.025234,0.014516
174_vs_175,40.728984,0.020650,0.015647
175_vs_176,44.072956,0.024467,0.017711
176_vs_177,44.692908,0.024240,0.017740
177_vs_178,41.534484,0.020658,0.015662
178_vs_179,39.822643,0.021788,0.011636
179_vs_180,38.776558,0.019478,0.014314
180_vs_181,38.147912,0.020071,0.016083
181_vs_182,45.157847,0.025059,0.015277
182_vs_183,34.437765,0.018661,0.014434
183_vs_184,34.293811,0.019065,0.016881
184_vs_185,37.408963,0.021889,0.013940
185_vs_186,35.062925,0.019643,0.016569
186_vs_187,35.618177,0.018956,0.015711
187_vs_188,40.274965,0.023063,0.015380
188_vs_189,33.886610,0.018921,0.016479
189_vs_190,35.225408,0.018453,0.015270
190_vs_191,40.473841,0.023293,0.015677
191_vs_192,36.433121,0.019301,0.015951
192_vs_193,43.857921,0.026484,0.020676
193_vs_194,43.519705,0.025434,0.017807
194_vs_195,40.477127,0.021900,0.016974
195_vs_196,38.180777,0.022034,0.019577
196_vs_197,45.862183,0.027939,0.018098
197_vs_198,39.680937,0.021355,0.018417
198_vs_199,37.961510,0.020625,0.017549
199_vs_200,41.660838,0.023203,0.015145
200_vs_201,37.061714,0.019672,0.017114
201_vs_202,36.531502,0.019182,0.015272
202_vs_203,38.400152,0.020789,0.014425
203_vs_204,35.460113,0.018703,0.015987
204_vs_205,37.069019,0.019685,0.017156
205_vs_206,35.901710,0.019240,0.012898
206_vs_207,32.385347,0.016444,0.013692
207_vs_208,33.624388,0.017281,0.014145
208_vs_209,37.008082,0.020259,0.013101
209_vs_210,35.925265,0.017339,0.014621
210_vs_211,30.268290,0.014628,0.011804
211_vs_212,35.458177,0.017695,0.011548
212_vs_213,29.937157,0.014174,0.011581
213_vs_214,33.152439,0.015575,0.012494
214_vs_215,32.772769,0.016640,0.011278
215_vs_216,30.963720,0.013588,0.010398
216_vs_217,33.342956,0.015727,0.012920
217_vs_218,31.901458,0.014838,0.009923
218_vs_219,30.329792,0.012728,0.010217
219_vs_220,28.972144,0.012651,0.010501
220_vs_221,32.635378,0.014721,0.010461
221_vs_222,27.759067,0.011415,0.008904
222_vs_223,35.509635,0.016002,0.010889
223_vs_224,30.764275,0.013024,0.011564
224_vs_225,46.945790,0.025828,0.021839
225_vs_226,33.198646,0.014770,0.008462
226_vs_227,30.870464,0.013109,0.010206
227_vs_228,41.109835,0.018665,0.011418
228_vs_229,32.853194,0.013907,0.008422
229_vs_230,34.663511,0.015530,0.011617
230_vs_231,37.583281,0.016473,0.009820
231_vs_232,35.097483,0.014941,0.011197
232_vs_233,42.021758,0.018883,0.013810
233_vs_234,39.233320,0.016656,0.011409
234_vs_235,41.202357,0.018138,0.013016
235_vs_236,40.452066,0.017719,0.012874
236_vs_237,39.560725,0.016654,0.011042
237_vs_238,43.221055,0.020257,0.010486
238_vs_239,40.967821,0.016906,0.010224
239_vs_240,43.050473,0.020456,0.013049
240_vs_241,46.557990,0.021879,0.012849
241_vs_242,41.524701,0.018004,0.010535
242_vs_243,50.162526,0.020921,0.012679
243_vs_244,54.214653,0.024725,0.014440
244_vs_245,43.207031,0.018330,0.011950
245_vs_246,44.472348,0.020538,0.012467
246_vs_247,51.786198,0.025154,0.013597
247_vs_248,41.275946,0.019369,0.012328
248_vs_249,49.930056,0.024416,0.013403
249_vs_250,45.200490,0.022685,0.014727
250_vs_251,55.798585,0.028213,0.015831
251_vs_252,48.848685,0.022519,0.015397
252_vs_253,52.670872,0.024117,0.014638
253_vs_254,47.936055,0.023612,0.013647
254_vs_255,43.085482,0.021227,0.014429
255_vs_256,51.446992,0.025756,0.015437
256_vs_257,47.270508,0.026302,0.013943
257_vs_258,40.521259,0.021134,0.012539
258_vs_259,50.822096,0.025213,0.014564
259_vs_260,51.836133,0.028056,0.014159
260_vs_261,43.648911,0.021985,0.014379
261_vs_262,57.890360,0.029344,0.017164
262_vs_263,48.413611,0.025279,0.016502
263_vs_264,48.319275,0.024941,0.014654
264_vs_265,53.077743,0.024792,0.015976
265_vs_266,48.744240,0.024002,0.016585
266_vs_267,52.348433,0.025750,0.014917
267_vs_268,49.485260,0.022367,0.014376
268_vs_269,51.556272,0.024975,0.016582
269_vs_270,50.477591,0.024682,0.013668
270_vs_271,46.149145,0.020874,0.013914
271_vs_272,48.458225,0.023135,0.015089
272_vs_273,54.927166,0.028492,0.016780
273_vs_274,51.337721,0.023417,0.014511
274_vs_275,43.947279,0.020632,0.014163
275_vs_276,57.515109,0.026902,0.015798
276_vs_277,43.869405,0.019366,0.014455
277_vs_278,43.868789,0.021049,0.014721
278_vs_279,41.713655,0.019729,0.015046
279_vs_280,37.511285,0.018744,0.014224
280_vs_281,52.924110,0.024744,0.014144
281_vs_282,41.552999,0.018928,0.012888
282_vs_283,34.298277,0.016127,0.012165
283_vs_284,56.385777,0.024674,0.013843
284_vs_285,36.540951,0.016207,0.012758
285_vs_286,42.641853,0.019217,0.015077
286_vs_287,36.606810,0.015627,0.012568
287_vs_288,46.288199,0.021312,0.015309
288_vs_289,43.292886,0.019795,0.016678
289_vs_290,42.204731,0.018146,0.012667
290_vs_291,43.076146,0.017276,0.010862
291_vs_292,44.428663,0.020035,0.014851
292_vs_293,49.092426,0.022789,0.014189
293_vs_294,45.217140,0.018498,0.012605
294_vs_295,35.338147,0.016636,0.013804
295_vs_296,52.038073,0.023313,0.012511
296_vs_297,44.154666,0.018697,0.013100
297_vs_298,45.370716,0.019412,0.014492
298_vs_299,42.955438,0.019841,0.011846
299_vs_300,56.047847,0.022543,0.013031
300_vs_301,46.868689,0.020847,0.012063
301_vs_302,47.556068,0.022549,0.012199
302_vs_303,53.428893,0.022399,0.011611
303_vs_304,42.352925,0.019065,0.012295
304_vs_305,61.005213,0.028793,0.015626
305_vs_306,56.724457,0.024083,0.014219
306_vs_307,43.691341,0.020832,0.014795
307_vs_308,54.062977,0.026224,0.016359
308_vs_309,41.188672,0.019615,0.012531
309_vs_310,58.158199,0.026585,0.016002
310_vs_311,57.413307,0.030258,0.020489
311_vs_312,57.538733,0.029950,0.021975
